,Username,Title,Userscore
3,doodlerman,The Legend of Zelda: Ocarina of Time,10
4,StevenA,The Legend of Zelda: Ocarina of Time,10
8,Nosidda89,The Legend of Zelda: Ocarina of Time,10
10,KendylKlownfish,The Legend of Zelda: Ocarina of Time,10
18,leondaniel21,The Legend of Zelda: Ocarina of Time,10
33,TipsyMcBee,The Legend of Zelda: Ocarina of Time,10
34,ImUnavailable,The Legend of Zelda: Ocarina of Time,10
37,Caestus,The Legend of Zelda: Ocarina of Time,10
46,JoeB.,The Legend of Zelda: Ocarina of Time,10
51,JakeM.,The Legend of Zelda: Ocarina of Time,10
54,nintendoid13,The Legend of Zelda: Ocarina of Time,10
55,nonnikchief,The Legend of Zelda: Ocarina of Time,10
56,Spartan111,The Legend of Zelda: Ocarina of Time,10
62,Linkfan,The Legend of Zelda: Ocarina of Time,10
66,JohnM.,The Legend of Zelda: Ocarina of Time,10
73,SamD.,The Legend of Zelda: Ocarina of Time,10
74,JasonM.,The Legend of Zelda: Ocarina of Time,10
78,MattD.,The Legend of Zelda: Ocarina of Time,10
81,Dan,The Legend of Zelda: Ocarina of Time,10
84,MichaelB.,The Legend of Zelda: Ocarina of Time,10
93,JohnE.,The Legend of Zelda: Ocarina of Time,10
95,PaulM.,The Legend of Zelda: Ocarina of Time,10
97,TomP.,The Legend of Zelda: Ocarina of Time,10
99,MattM,The Legend of Zelda: Ocarina of Time,10
100,ScottW.,The Legend of Zelda: Ocarina of Time,10
118,FlyingAsianBear,The Legend of Zelda: Ocarina of Time,10
121,sympathy4saren2,The Legend of Zelda: Ocarina of Time,10
143,elitefour,The Legend of Zelda: Ocarina of Time,10
146,DemKin,The Legend of Zelda: Ocarina of Time,10
150,rhaynes7,The Legend of Zelda: Ocarina of Time,10
156,boysfan4life88,The Legend of Zelda: Ocarina of Time,10
160,TheLooseHunter,The Legend of Zelda: Ocarina of Time,10
165,Brendon6446,The Legend of Zelda: Ocarina of Time,10
166,Darko84,The Legend of Zelda: Ocarina of Time,10
169,Vataro,The Legend of Zelda: Ocarina of Time,10
183,Focaccia,The Legend of Zelda: Ocarina of Time,10
187,Barnes1987,The Legend of Zelda: Ocarina of Time,10
203,SteveE.,The Legend of Zelda: Ocarina of Time,10
212,muzziklover,The Legend of Zelda: Ocarina of Time,10
213,Teliiii,The Legend of Zelda: Ocarina of Time,10
216,steven14329,The Legend of Zelda: Ocarina of Time,10
222,ArkonBlade,The Legend of Zelda: Ocarina of Time,10
223,BlogDog123,The Legend of Zelda: Ocarina of Time,10
224,Watermelon789,The Legend of Zelda: Ocarina of Time,10
232,AZWification,The Legend of Zelda: Ocarina of Time,10
235,Bathmat,The Legend of Zelda: Ocarina of Time,10
240,hawaiianhappy,The Legend of Zelda: Ocarina of Time,10
244,asggamefan,The Legend of Zelda: Ocarina of Time,10
249,AndrewG.,The Legend of Zelda: Ocarina of Time,10
254,NoBS,The Legend of Zelda: Ocarina of Time,10
259,Enforcer122,The Legend of Zelda: Ocarina of Time,10
262,Zilcell,The Legend of Zelda: Ocarina of Time,10
263,Geoffory2,The Legend of Zelda: Ocarina of Time,10
265,SnivySomnia,The Legend of Zelda: Ocarina of Time,8
269,PaulP.,The Legend of Zelda: Ocarina of Time,10
272,AlexW.,The Legend of Zelda: Ocarina of Time,10
277,thejonez,The Legend of Zelda: Ocarina of Time,8
278,JHango,The Legend of Zelda: Ocarina of Time,10
282,RangerGxi,The Legend of Zelda: Ocarina of Time,10
283,eduinsane,The Legend of Zelda: Ocarina of Time,10
284,BeatHour,The Legend of Zelda: Ocarina of Time,10
297,Cerberus0,The Legend of Zelda: Ocarina of Time,10
302,Incarta,The Legend of Zelda: Ocarina of Time,9
305,artoldtonelic,The Legend of Zelda: Ocarina of Time,9
306,debigman,The Legend of Zelda: Ocarina of Time,10
307,joaopontesvaz,The Legend of Zelda: Ocarina of Time,10
309,TaraDarveaux,The Legend of Zelda: Ocarina of Time,10
310,tybyrd93,The Legend of Zelda: Ocarina of Time,10
313,dinosauryoshi,The Legend of Zelda: Ocarina of Time,10
319,Wake_loms,The Legend of Zelda: Ocarina of Time,10
320,curzon_dax,The Legend of Zelda: Ocarina of Time,7
322,AGoodGame,The Legend of Zelda: Ocarina of Time,10
324,Lev,The Legend of Zelda: Ocarina of Time,7
329,bestbloodyday,The Legend of Zelda: Ocarina of Time,9
330,kane148,The Legend of Zelda: Ocarina of Time,10
331,chronoT,The Legend of Zelda: Ocarina of Time,10
342,lilkillpappy,The Legend of Zelda: Ocarina of Time,10
344,Shadow1,The Legend of Zelda: Ocarina of Time,7
347,Breegullbeak,The Legend of Zelda: Ocarina of Time,5
349,SuperMarioBro,The Legend of Zelda: Ocarina of Time,6
356,duckypwns,The Legend of Zelda: Ocarina of Time,6
358,Itsapaul,The Legend of Zelda: Ocarina of Time,7
362,Blahguy126,The Legend of Zelda: Ocarina of Time,6
367,justagamer123,The Legend of Zelda: Ocarina of Time,3
378,JamesF.,The Legend of Zelda: Ocarina of Time,0
383,Bob,The Legend of Zelda: Ocarina of Time,0
386,ThomasW.,The Legend of Zelda: Ocarina of Time,9
387,GaborA.,The Legend of Zelda: Ocarina of Time,9
389,MikeS.,The Legend of Zelda: Ocarina of Time,10
390,Kevin,The Legend of Zelda: Ocarina of Time,9
398,TheQuietGamer,The Legend of Zelda: Ocarina of Time,9
399,Tokyochuchu,The Legend of Zelda: Ocarina of Time,9
409,JRRR,The Legend of Zelda: Ocarina of Time,10
412,metacensorship,The Legend of Zelda: Ocarina of Time,10
417,TheHumbleGamer,The Legend of Zelda: Ocarina of Time,10
423,JamesK.,The Legend of Zelda: Ocarina of Time,10
424,DanH.,The Legend of Zelda: Ocarina of Time,10
427,ChrisL.,The Legend of Zelda: Ocarina of Time,10
428,[Anonymous],The Legend of Zelda: Ocarina of Time,10
430,KevinF.,The Legend of Zelda: Ocarina of Time,10
431,SteveG.,The Legend of Zelda: Ocarina of Time,10
432,BenL.,The Legend of Zelda: Ocarina of Time,10
434,MikeB.,The Legend of Zelda: Ocarina of Time,10
435,Matt,The Legend of Zelda: Ocarina of Time,10
437,Uter,The Legend of Zelda: Ocarina of Time,10
441,TarikT.,The Legend of Zelda: Ocarina of Time,10
450,JohnB.,The Legend of Zelda: Ocarina of Time,10
452,AlexS.,The Legend of Zelda: Ocarina of Time,10
453,JacobK.,The Legend of Zelda: Ocarina of Time,10
454,RobertC.,The Legend of Zelda: Ocarina of Time,10
455,Alex,The Legend of Zelda: Ocarina of Time,10
458,James,The Legend of Zelda: Ocarina of Time,10
462,SeanB.,The Legend of Zelda: Ocarina of Time,10
463,PaulO.,The Legend of Zelda: Ocarina of Time,10
468,AB,The Legend of Zelda: Ocarina of Time,10
469,BenH.,The Legend of Zelda: Ocarina of Time,10
479,BrianD.,The Legend of Zelda: Ocarina of Time,10
485,EricG.,The Legend of Zelda: Ocarina of Time,10
494,DanA.,The Legend of Zelda: Ocarina of Time,10
496,BenG.,The Legend of Zelda: Ocarina of Time,10
498,JonathanG.,The Legend of Zelda: Ocarina of Time,10
500,BrianP.,The Legend of Zelda: Ocarina of Time,10
503,ShaneS.,The Legend of Zelda: Ocarina of Time,10
504,MikeT.,The Legend of Zelda: Ocarina of Time,10
505,SeanS.,The Legend of Zelda: Ocarina of Time,10
506,JakeS.,The Legend of Zelda: Ocarina of Time,10
507,SamF.,The Legend of Zelda: Ocarina of Time,10
511,BryanS.,The Legend of Zelda: Ocarina of Time,10
516,JasonB.,The Legend of Zelda: Ocarina of Time,10
521,JamesT.,The Legend of Zelda: Ocarina of Time,10
524,ChrisA.,The Legend of Zelda: Ocarina of Time,10
526,ChrisD.,The Legend of Zelda: Ocarina of Time,10
535,JamesM.,The Legend of Zelda: Ocarina of Time,10
538,Ben,The Legend of Zelda: Ocarina of Time,10
539,MichaelK.,The Legend of Zelda: Ocarina of Time,10
541,KevinC.,The Legend of Zelda: Ocarina of Time,10
544,BenW.,The Legend of Zelda: Ocarina of Time,10
547,ChrisK.,The Legend of Zelda: Ocarina of Time,10
550,DavidA,The Legend of Zelda: Ocarina of Time,10
553,DanL.,The Legend of Zelda: Ocarina of Time,10
560,Maslab,The Legend of Zelda: Ocarina of Time,10
562,Mark,The Legend of Zelda: Ocarina of Time,10
568,MichaelL.,The Legend of Zelda: Ocarina of Time,10
579,RyanS,The Legend of Zelda: Ocarina of Time,10
