,Title,Userscore,rating_counts,Genre
0,'Splosion Man,8.6875,16,"['General', '2D', 'Platformer', 'Action']"
1,007: The World is Not Enough,7.2,15,"['First-Person', 'Modern', 'Shooter', 'Action']"
2,2010 FIFA World Cup South Africa,7.6875,16,"['Sports', 'Team', 'Soccer', 'Traditional', 'Sim']"
3,3D After Burner II,8.0,2,"['Shooter', 'Action', 'Scrolling', 'Vertical', ""Shoot-'Em-Up""]"
4,3D Gunstar Heroes,8.75,4,"['Horizontal', 'Shooter', 'Action', ""Shoot-'Em-Up""]"
5,3D Out Run,9.75,4,"['Automobile', 'Arcade', 'Driving', 'Racing']"
6,3D Sonic the Hedgehog 2,9.0,14,"['2D', 'Platformer', 'Action']"
7,3D Streets of Rage II,10.0,3,"['2D', 'Action', ""Beat-'Em-Up""]"
8,80 Days (2015),8.0,3,"['Visual Novel', 'Adventure']"
9,ABZU,7.348837209302325,43,"['Adventure', '3D', 'Third-Person', 'Action Adventure', 'General']"
10,ATV Offroad Fury,8.48,25,"['Rally / Offroad', 'Driving', 'Racing']"
11,ATV Offroad Fury 2,9.0,11,"['Rally / Offroad', 'Driving', 'Racing']"
12,AaaaaAAaaaAAAaaAAAAaAAAAA!!!: A Reckless Disregard for Gravity,6.838709677419355,31,"['Sports', 'Action', 'Platformer', '3D', 'General']"
13,Ace Combat 04: Shattered Skies,9.463414634146341,41,"['Simulation', 'Modern Jet', 'Flight']"
14,Ace Combat 2,7.857142857142857,7,"['Simulation', 'Modern Jet', 'Flight']"
15,Ace Combat 5: The Unsung War,9.413793103448276,29,"['Simulation', 'Modern Jet', 'Flight']"
16,Ace Combat 6: Fires of Liberation,8.11111111111111,36,"['Simulation', 'Combat', 'Flight', 'Action']"
17,Act of War: Direct Action,9.6,10,"['Military', 'General', 'Real-Time', 'Strategy']"
18,Advance Wars,9.076923076923077,26,"['Turn-Based', 'Modern', 'Strategy']"
19,Advance Wars 2: Black Hole Rising,9.73469387755102,49,"['Turn-Based', 'Strategy', 'Sci-Fi']"
20,Advance Wars: Days of Ruin,8.763157894736842,38,"['Tactics', 'Turn-Based', 'Modern', 'Strategy']"
21,Advance Wars: Dual Strike,9.104477611940299,67,"['Tactics', 'Turn-Based', 'Modern', 'Strategy']"
22,Affordable Space Adventures,9.235294117647058,17,"['Shooter', 'Action', 'Scrolling', 'Vertical', ""Shoot-'Em-Up""]"
23,Age of Conan: Hyborian Adventures,6.80890052356021,382,"['Massively Multiplayer', 'Fantasy', 'Role-Playing', 'Massively Multiplayer Online']"
24,Age of Conan: Rise of the Godslayer,6.4,10,"['Massively Multiplayer', 'Fantasy', 'Role-Playing', 'Massively Multiplayer Online']"
25,Age of Empires,8.28,25,"['Historic', 'Real-Time', 'Command', 'Strategy']"
26,Age of Empires II: The Age of Kings,8.536082474226804,97,"['Historic', 'Real-Time', 'Command', 'Strategy']"
27,Age of Empires II: The Conquerors Expansion,9.564102564102564,39,"['Historic', 'Real-Time', 'Command', 'Strategy']"
